anomaly,log_prob_x,log_prob_z,0,mu_0,std_0,1,mu_1,std_1,2,mu_2,std_2
0,-3.1689772605895996,-2.4490461349487305,-1.2088070301322893,-1.2687385082244873,1.000448226928711,-0.14943206907021114,-0.09374300390481949,1.001172661781311,-0.6576134984171914,-0.8285202383995056,1.0001734495162964
0,-2.7637507915496826,-1.9312503337860107,-1.320221666420502,-1.314704418182373,1.000257134437561,0.054886094060024676,-0.118368960916996,1.000455617904663,-0.7397581456597359,-0.6662210822105408,1.0000993013381958
0,-2.8759443759918213,-2.219087600708008,-1.320221666420502,-0.9421781301498413,1.0008201599121094,-0.230325848661031,-0.11625180393457413,1.002113938331604,-0.8357261657433365,-0.4959796667098999,1.0005947351455688
0,-2.872117280960083,-1.972413420677185,-1.320221666420502,-1.022333025932312,1.0008007287979126,-0.05038428672012478,-0.07011706382036209,1.0023058652877808,-0.7260342215441535,-0.5046629309654236,1.0003643035888672
0,-2.941720724105835,-2.1197152137756348,-1.2088070301322893,-0.7678302526473999,1.001733660697937,0.043982274792666455,-0.10510877519845963,1.0058492422103882,-0.6712379738072983,-0.5150339007377625,1.0016335248947144
0,-2.81221604347229,-2.559932231903076,-1.320221666420502,-1.0545070171356201,1.0007967948913574,-0.1904212954260394,-0.13678202033042908,1.0019866228103638,-0.7945543933965896,-0.451926052570343,1.0004327297210693
0,-3.4548511505126953,-1.979949712753296,-1.320221666420502,-0.18207614123821259,1.0008149147033691,-0.08823366983142578,-0.1502026617527008,1.004213571548462,-0.7260342215441535,-0.5022934675216675,1.0031449794769287
0,-2.8517417907714844,-2.5274360179901123,-1.320221666420502,-1.1097989082336426,1.0004456043243408,-0.06802449694846865,-0.07143381983041763,1.0019056797027588,-0.6849618979228806,-1.1006358861923218,1.0001791715621948
0,-2.790074348449707,-2.3322689533233643,-1.2088070301322893,-1.155407190322876,1.000296950340271,-0.04364789575913907,-0.11960277706384659,1.0010191202163696,-0.7672059938909004,-0.8686894774436951,1.0001695156097412
0,-2.7947893142700195,-2.0594964027404785,-1.320221666420502,-0.9607287645339966,1.0006591081619263,0.8317974888740454,-0.03538326174020767,1.0022870302200317,-0.7260342215441535,-0.855024516582489,1.0004127025604248
0,-3.196540117263794,-2.293227434158325,-1.2088070301322893,-1.0731182098388672,1.0004844665527344,-0.02286784228626789,-0.0717560425400734,1.00143563747406,-0.6712379738072983,-0.7246822714805603,1.0002689361572266
0,-2.784146785736084,-2.2232882976531982,-1.2088070301322893,-1.0161724090576172,1.0009719133377075,-0.20235269975524287,-0.0667630210518837,1.002982497215271,-0.6849618979228806,-0.5897631645202637,1.0005909204483032
0,-2.814579963684082,-1.8539786338806152,-1.2088070301322893,-1.0842489004135132,1.0005723237991333,-0.2038940773480108,-0.032611437141895294,1.0014091730117798,-0.7534820697753181,-0.42660248279571533,1.0003162622451782
0,-2.77695631980896,-2.6653597354888916,-1.2088070301322893,-1.1035693883895874,1.0005663633346558,-0.06180189851840561,-0.05604860931634903,1.001766562461853,-0.7260342215441535,-0.799210250377655,1.0003429651260376
0,-2.7685816287994385,-2.1155710220336914,-1.2088070301322893,-1.0960102081298828,1.001172661781311,-0.18676765965058953,-0.0986265316605568,1.0027525424957275,-0.7534820697753181,-0.7492733001708984,1.0005546808242798
0,-2.8467299938201904,-1.9542889595031738,-1.2088070301322893,-0.8707539439201355,1.0002256631851196,-0.21890823686275013,-0.1003565564751625,1.0005171298980713,-0.7672059938909004,-0.5163121819496155,1.0002154111862183
0,-2.8278417587280273,-2.122471332550049,-1.2088070301322893,-0.9568704962730408,1.0006667375564575,-0.1702121225430823,-0.12050933390855789,1.0016082525253296,-0.7672059938909004,-0.51485675573349,1.000420093536377
0,-2.770639419555664,-4.59310245513916,-1.2088070301322893,-1.26058030128479,1.0001912117004395,-0.0768160580331449,-0.10546449571847916,1.0004197359085083,-0.7672059938909004,-0.9064268469810486,1.000089406967163
0,-2.789665937423706,-2.0727651119232178,-1.2088070301322893,-1.1116145849227905,1.0003122091293335,-0.2427710455211571,-0.06980738788843155,1.000937819480896,-0.7809299180064827,-0.9981409907341003,1.0002012252807617
0,-2.867563486099243,-2.63700795173645,-1.320221666420502,-0.8096997141838074,1.0003265142440796,0.5221518569046686,-0.03321409970521927,1.0010545253753662,-0.7534820697753181,-0.6574037075042725,1.000239610671997
0,-3.1650171279907227,-1.9112132787704468,-1.320221666420502,-0.6146198511123657,1.000751256942749,-0.206463040002624,0.03186940401792526,1.0029922723770142,-0.7672059938909004,-0.4864911437034607,1.0008454322814941
0,-2.785148859024048,-2.1059441566467285,-1.2088070301322893,-1.117287516593933,1.000299334526062,-0.16912744942224558,-0.09720740467309952,1.0010448694229126,-0.6576134984171914,-0.745596706867218,1.0002213716506958
