0,1,2,anomaly
0.242424,0.019314,0.062965,0
0.242424,0.002625,0.063516,0
0.222222,0.003243,0.064618,0
0.232323,0.002789,0.069441,0
0.232323,0.004606,0.069716,0
0.262626,0.004878,0.074125,0
0.262626,0.002516,0.064894,0
0.242424,0.005296,0.073574,0
0.232323,0.004951,0.071507,0
0.232323,0.004279,0.065169,0
0.242424,0.017951,0.068614,0
0.242424,0.003625,0.064205,0
0.222222,0.003134,0.064894,0
0.222222,0.002507,0.065721,0
0.242424,0.003534,0.063103,0
0.222222,0.003897,0.062138,0
0.222222,0.002834,0.082254,0
0.242424,0.002771,0.068476,0
0.232323,0.008776,0.065583,0
0.222222,0.004533,0.07261,0
0.252525,0.020504,0.063792,0
0.222222,0.003516,0.081565,0
0.222222,0.006441,0.080876,0
0.232323,0.002053,0.071921,0
0.232323,0.003588,0.065169,0
0.222222,0.003525,0.062138,0
0.242424,0.003316,0.079223,0
0.212121,0.00327,0.064618,0
0.242424,0.004024,0.067374,0
0.222222,0.00238,0.064067,0
0.242424,0.024756,0.071094,0
0.222222,0.003616,0.067236,0
0.222222,0.004488,0.062965,0
0.232323,0.002671,0.069716,0
0.222222,0.00278,0.07261,0
0.222222,0.004279,0.080876,0
0.20202,0.003534,0.068476,0
0.222222,0.002262,0.064481,0
0.212121,0.006305,0.064481,0
0.212121,0.003298,0.066272,0
0.222222,0.015453,0.062827,0
0.212121,0.00357,0.063241,0
0.20202,0.002789,0.067098,0
0.222222,0.002516,0.063241,0
0.191919,0.002498,0.070543,0
0.222222,0.003979,0.064343,0
0.232323,0.002553,0.067925,0
0.212121,0.003643,0.070956,0
0.232323,0.003788,0.072472,0
0.181818,0.003425,0.064067,0
0.212121,0.020459,0.068201,0
0.212121,0.004106,0.067374,0
0.212121,0.004415,0.066547,0
0.191919,0.003207,0.067374,0
0.212121,0.003952,0.063378,0
0.212121,0.00268,0.061863,0
0.20202,0.004297,0.066409,0
0.212121,0.004779,0.087627,0
0.191919,0.003652,0.065307,0
0.212121,0.003034,0.064481,0
0.212121,0.013264,0.064205,0
0.191919,0.003816,0.07261,0
0.212121,0.002943,0.066685,0
0.212121,0.002335,0.067649,0
0.20202,0.004397,0.063241,0
0.212121,0.002907,0.063516,0
0.20202,0.002862,0.093276,0
0.212121,0.006877,0.064756,0
0.20202,0.004161,0.069165,0
0.20202,0.002925,0.065032,0
0.222222,0.019841,0.069165,0
0.212121,0.003289,0.063378,0
0.20202,0.003443,0.070818,0
0.212121,0.003679,0.064205,0
0.212121,0.003316,0.075503,0
0.20202,0.003343,0.066272,0
0.191919,0.003152,0.073574,0
0.20202,0.001753,0.070956,0
0.191919,0.004515,0.072058,0
0.191919,0.003098,0.063103,0
0.20202,0.031306,0.067374,0
0.20202,0.004043,0.066409,0
0.222222,0.006668,0.074814,0
0.171717,0.00288,0.079223,0
0.20202,0.002344,0.071507,0
0.191919,0.003579,0.071921,0
0.20202,0.002989,0.065583,0
0.191919,0.002307,0.065032,0
0.191919,0.002871,0.062827,0
0.171717,0.003207,0.064894,0
0.191919,0.018714,0.064481,0
0.191919,0.003825,0.073712,0
0.191919,0.00387,0.069854,0
0.20202,0.002389,0.065032,0
0.191919,0.003588,0.066272,0
0.20202,0.003461,0.066823,0
0.20202,0.003997,0.071921,0
0.20202,0.004288,0.069165,0
0.181818,0.003452,0.065858,0
0.20202,0.007495,0.074814,0
0.191919,0.027472,0.075365,0
0.212121,0.003852,0.066547,0
0.212121,0.003779,0.073712,0
0.191919,0.003007,0.066961,0
0.212121,0.002825,0.063378,0
0.212121,0.00566,0.094103,0
0.212121,0.002407,0.068338,0
0.212121,0.003407,0.065721,0
0.222222,0.004188,0.064756,0
0.242424,0.003407,0.067512,0
0.242424,0.027999,0.07137,0
0.262626,0.003979,0.064067,0
0.282828,0.00546,0.064343,0
0.242424,0.002671,0.063929,0
0.252525,0.003379,0.066134,0
0.232323,0.002971,0.065169,0
0.212121,0.002471,0.066685,0
0.181818,0.002153,0.07261,0
0.20202,0.00318,0.077156,0
0.191919,0.00248,0.066409,0
0.191919,0.02213,0.066685,0
0.191919,0.002489,0.067236,0
0.191919,0.003943,0.068614,0
0.181818,0.003225,0.095619,0
0.222222,0.002698,0.070818,0
0.20202,0.004924,0.064067,0
0.20202,0.00595,0.065032,0
0.191919,0.00357,0.075778,0
0.20202,0.003507,0.076605,0
0.20202,0.005133,0.065858,0
0.20202,0.013772,0.064481,0
0.191919,0.004161,0.069441,0
0.20202,0.003906,0.065583,0
0.181818,0.003752,0.064481,0
0.20202,0.003416,0.065996,0
0.20202,0.003407,0.069165,0
0.212121,0.003125,0.074263,0
0.212121,0.00308,0.074401,0
0.212121,0.003697,0.062965,0
0.20202,0.003007,0.066685,0
0.242424,0.024192,0.066547,0
0.20202,0.005424,0.065858,0
0.232323,0.010311,0.071094,0
0.242424,0.004106,0.073574,0
0.242424,0.003216,0.065583,0
0.191919,0.004379,0.081841,0
0.232323,0.003379,0.068063,0
0.20202,0.00288,0.065583,0
0.222222,0.002962,0.068063,0
0.20202,0.004288,0.082254,0
0.232323,0.018751,0.065996,0
0.20202,0.003752,0.063516,0
0.232323,0.003552,0.063516,0
0.222222,0.00328,0.065169,0
0.252525,0.002762,0.069578,0
0.262626,0.004342,0.079498,0
0.242424,0.003152,0.065307,0
0.242424,0.004933,0.07137,0
0.232323,0.003289,0.070818,0
0.222222,0.004006,0.088867,0
0.242424,0.020731,0.073023,0
0.222222,0.003062,0.07881,0
0.222222,0.004597,0.063929,0
0.20202,0.003407,0.067374,0
0.20202,0.001808,0.064618,0
0.20202,0.004197,0.069165,0
0.212121,0.002716,0.063929,0
0.191919,0.002753,0.075227,0
0.20202,0.004397,0.064205,0
0.242424,0.005369,0.062965,0
