0,1,2,3,4,anomaly
0.074332,0.274011,0.0,0.067808,0.935405,0
0.076655,0.274953,0.000122,0.071395,0.996555,0
0.074332,0.274953,0.000366,0.063277,0.96031,0
0.070848,0.27307,0.000244,0.067841,0.96153,0
0.070848,0.274011,0.000244,0.075654,0.942152,0
0.072009,0.27307,0.000244,0.068538,0.953133,0
0.070848,0.272128,0.000611,0.067172,0.932391,0
0.068525,0.270245,0.0,0.065812,0.950406,0
0.066202,0.270245,0.0,0.065999,0.91818,0
0.065041,0.270245,0.000122,0.07881,0.931386,0
0.069686,0.269303,0.002345,0.0654,0.938348,0
0.068525,0.269303,0.000122,0.064975,0.909137,0
0.074332,0.26742,0.000244,0.063179,0.921194,0
0.075494,0.266478,0.000122,0.065667,0.897438,0
0.076655,0.268362,0.000122,0.072765,0.927295,0
0.078978,0.268362,0.000122,0.065989,0.899519,0
0.076655,0.26742,0.000122,0.064371,0.93275,0
0.077816,0.269303,0.0,0.063965,0.889615,0
0.074332,0.271186,0.000122,0.060617,0.902103,0
0.074332,0.271186,0.0,0.076444,0.896792,0
0.074332,0.272128,0.000122,0.058536,0.870523,0
0.077816,0.27307,0.000366,0.070015,0.906122,0
0.074332,0.274011,0.000244,0.064914,0.86636,0
0.070848,0.274011,0.0,0.05141,0.903754,0
0.073171,0.27307,0.000366,0.100511,0.866576,0
0.072009,0.27307,0.000489,0.078029,0.920548,0
0.067364,0.272128,0.000244,0.077931,0.884232,0
0.068525,0.269303,0.000611,0.076,0.892485,0
0.068525,0.26742,0.000122,0.075018,0.879208,0
0.065041,0.270245,0.000244,0.08545,0.901601,0
0.067364,0.269303,0.000122,0.080835,0.873035,0
0.066202,0.269303,0.000489,0.072456,0.882724,0
0.068525,0.271186,0.000244,0.067439,0.831049,0
0.065041,0.271186,0.000122,0.042933,0.881289,0
0.066202,0.272128,0.0,0.085618,0.831695,0
0.066202,0.270245,0.000244,0.073125,0.880212,0
0.062718,0.270245,0.000122,0.081878,0.830187,0
0.061556,0.270245,0.0,0.077221,0.869518,0
0.074332,0.269303,0.0,0.074382,0.821288,0
0.075494,0.271186,0.000244,0.05581,0.868801,0
0.081301,0.271186,0.0,0.069552,0.999928,0
0.080139,0.272128,0.000122,0.071553,0.999928,0
0.081301,0.272128,0.000244,0.070455,0.999928,0
0.083624,0.271186,0.000122,0.073209,0.999928,0
0.083624,0.272128,0.0,0.083944,0.999928,0
0.081301,0.272128,0.000489,0.073634,0.999928,0
0.083624,0.27307,0.000611,0.081101,0.999928,0
0.081301,0.27307,0.000489,0.089326,0.999928,0
0.080139,0.272128,0.000244,0.067097,0.999928,0
0.080139,0.27307,0.0,0.081396,0.999928,0
0.076655,0.272128,0.000244,0.068533,0.999928,0
0.078978,0.27307,0.000366,0.071142,0.999928,0
0.080139,0.274011,0.0,0.069234,0.999928,0
0.077816,0.27307,0.000366,0.069295,0.999928,0
0.078978,0.271186,0.000122,0.076346,0.999928,0
0.080139,0.269303,0.000122,0.064306,0.999928,0
0.084785,0.270245,0.000122,0.067939,0.999928,0
0.083624,0.269303,0.0,0.067116,0.999928,0
0.082462,0.268362,0.0,0.063385,0.999928,0
0.087108,0.269303,0.000122,0.082962,0.999928,0
0.087108,0.269303,0.0,0.066677,0.999928,0
0.085947,0.270245,0.000122,0.067537,0.999928,0
0.085947,0.269303,0.000122,0.066003,0.999928,0
0.082462,0.268362,0.000122,0.066789,0.999928,0
0.080139,0.269303,0.0,0.076426,0.999928,0
0.077816,0.268362,0.000122,0.068622,0.999928,0
0.076655,0.269303,0.0,0.06706,0.999928,0
0.073171,0.271186,0.000366,0.065648,0.999928,0
0.070848,0.271186,0.000244,0.065508,0.999928,0
0.068525,0.272128,0.000366,0.083103,0.999928,0
0.066202,0.27307,0.0,0.064881,0.999928,0
0.067364,0.274953,0.0,0.065494,0.999928,0
0.070848,0.27307,0.000366,0.065241,0.999928,0
0.073171,0.272128,0.000122,0.064848,0.999928,0
0.074332,0.274953,0.000122,0.075785,0.999928,0
0.077816,0.274953,0.0,0.073204,0.999928,0
0.078978,0.274011,0.0,0.069753,0.999928,0
0.080139,0.27307,0.0,0.067102,0.999928,0
0.081301,0.271186,0.0,0.066434,0.999928,0
0.085947,0.270245,0.0,0.079554,0.999928,0
0.088269,0.269303,0.0,0.069127,0.999928,0
0.097561,0.269303,0.000122,0.071815,0.999928,0
0.110337,0.270245,0.000122,0.071334,0.999928,0
0.11266,0.269303,0.0,0.05415,0.999928,0
0.11266,0.270245,0.0,0.079217,0.999928,0
0.118467,0.270245,0.0,0.075949,0.999928,0
0.119628,0.270245,0.0,0.084468,0.999928,0
0.12892,0.271186,0.000122,0.087708,0.999928,0
0.131243,0.270245,0.000244,0.072919,0.999928,0
0.131243,0.271186,0.000366,0.05285,0.999928,0
0.130081,0.271186,0.0,0.073653,0.994689,0
0.126597,0.271186,0.000122,0.073012,0.977105,0
0.119628,0.270245,0.0,0.069786,0.988301,0
0.117305,0.270245,0.0,0.083332,0.95342,0
0.117305,0.272128,0.0,0.083,0.999928,0
0.127758,0.274011,0.0,0.069169,0.956721,0
0.127758,0.274953,0.0,0.079703,0.999928,0
0.12892,0.274953,0.000122,0.074261,0.952056,0
0.130081,0.27307,0.000122,0.074172,0.97488,0
0.132404,0.274011,0.0,0.084968,0.931314,0
0.133566,0.27307,0.0,0.073316,0.946099,0
0.134727,0.274011,0.000122,0.074887,0.958588,0
0.13705,0.272128,0.0,0.070885,0.954138,0
0.133566,0.269303,0.000122,0.076005,0.999928,0
0.133566,0.270245,0.0,0.077814,0.934831,0
0.133566,0.270245,0.0,0.074798,0.94897,0
0.133566,0.269303,0.0,0.07852,0.916098,0
0.134727,0.268362,0.0,0.058218,0.945525,0
0.132404,0.269303,0.0,0.06952,0.946458,0
0.133566,0.271186,0.0,0.054225,0.942367,0
0.133566,0.271186,0.0,0.077281,0.966985,0
0.133566,0.272128,0.0,0.079488,0.917821,0
0.13705,0.272128,0.0,0.073527,0.913945,0
0.132404,0.272128,0.0,0.080162,0.895213,0
0.138211,0.272128,0.0,0.084636,0.907486,0
0.13705,0.272128,0.000122,0.09749,0.902534,0
0.138211,0.272128,0.000244,0.082902,0.905189,0
0.142857,0.272128,0.0,0.083673,0.924137,0
0.142857,0.271186,0.000122,0.074551,0.895643,0
0.140534,0.274953,0.001111,0.082962,0.88337,0
0.132404,0.275895,0.000122,0.077076,0.886959,0
0.133566,0.275895,0.000122,0.077538,0.885954,0
0.135889,0.275895,0.0,0.071091,0.852652,0
0.131243,0.275895,0.000122,0.078357,0.88093,0
0.125436,0.275895,0.0,0.081564,0.88416,0
0.126597,0.275895,0.000122,0.077356,0.879782,0
0.119628,0.275895,0.000122,0.047052,0.860978,0
0.126597,0.274011,0.0,0.07384,0.85502,0
0.127758,0.27307,0.002345,0.069627,0.857891,0
0.131243,0.274011,0.000244,0.084856,0.849422,0
0.12892,0.272128,0.0,0.079254,0.854662,0
0.130081,0.272128,0.000122,0.078301,0.837365,0
0.131243,0.270245,0.000122,0.077581,0.84368,0
0.134727,0.270245,0.0,0.084421,0.844111,0
0.138211,0.274011,0.000122,0.096279,0.999928,0
0.140534,0.274011,0.000244,0.091762,0.999928,0
0.138211,0.27307,0.000244,0.093375,0.999928,0
0.142857,0.272128,0.000244,0.092248,0.999928,0
0.140534,0.272128,0.0,0.084706,0.999928,0
0.140534,0.27307,0.0,0.06078,0.999928,0
0.14518,0.272128,0.000366,0.084042,0.999928,0
0.156794,0.27307,0.000122,0.087517,0.999928,0
0.15331,0.274953,0.000244,0.079811,0.999928,0
0.147503,0.274953,0.000244,0.085815,0.999928,0
0.147503,0.274011,0.000122,0.093628,0.999928,0
0.148664,0.274011,0.000122,0.087157,0.999928,0
0.14518,0.27307,0.0,0.090252,0.999928,0
0.147503,0.27307,0.000611,0.088513,0.999928,0
0.149826,0.274011,0.000244,0.078516,0.999928,0
0.15331,0.274953,0.000244,0.060916,0.999928,0
0.152149,0.274011,0.000366,0.089181,0.999928,0
0.15331,0.271186,0.0,0.084814,0.999928,0
0.157956,0.271186,0.000244,0.076781,0.999928,0
0.160279,0.271186,0.000122,0.085422,0.999928,0
0.157956,0.272128,0.0,0.088316,0.999928,0
0.168409,0.270245,0.000244,0.091313,0.999928,0
0.178862,0.269303,0.000122,0.088176,0.999928,0
0.174216,0.270245,0.0,0.084833,0.999928,0
0.170732,0.270245,0.0,0.078333,0.999928,0
0.168409,0.272128,0.000122,0.10095,0.999928,0
0.164925,0.272128,0.000122,0.085819,0.999928,0
0.164925,0.27307,0.0,0.083556,0.999928,0
0.16144,0.292844,0.000122,0.076089,0.999928,0
0.156794,0.292844,0.0,0.056203,0.999928,0
0.150987,0.276836,0.000366,0.095419,0.999928,0
0.14518,0.276836,0.000366,0.084618,0.999928,0
0.144019,0.274953,0.0,0.088919,0.999928,0
0.148664,0.275895,0.0,0.047936,0.999928,0
0.147503,0.275895,0.000489,0.077178,0.999928,0
0.157956,0.275895,0.000122,0.085819,0.999928,0
0.163763,0.276836,0.000244,0.080003,0.999928,0
0.16957,0.277778,0.000122,0.080311,0.999928,0
0.168409,0.278719,0.000366,0.075416,0.999928,0
0.168409,0.277778,0.0,0.084057,0.999928,0
0.168409,0.278719,0.000244,0.085941,0.999928,0
0.162602,0.275895,0.000122,0.084187,0.999928,0
0.157956,0.274011,0.0,0.084272,0.999928,0
0.15331,0.27307,0.000122,0.076384,0.999928,0
0.150987,0.272128,0.000244,0.080835,0.999928,0
0.152149,0.27307,0.000122,0.055431,0.999928,0
0.152149,0.272128,0.000122,0.077478,0.999928,0
0.157956,0.271186,0.000244,0.079792,0.999928,0
0.150987,0.270245,0.000489,0.076262,0.999928,0
0.149826,0.270245,0.000366,0.097612,0.999928,0
0.144019,0.272128,0.0,0.09468,0.995981,0
0.141696,0.272128,0.000122,0.078319,0.999928,0
0.14518,0.274011,0.000244,0.053374,0.981913,0
0.141696,0.27307,0.0,0.087437,0.999928,0
0.140534,0.27307,0.000366,0.075963,0.98055,0
0.138211,0.27307,0.000244,0.087563,0.98866,0
0.138211,0.27307,0.000122,0.080826,0.964473,0
0.139373,0.274011,0.000366,0.078834,0.955788,0
0.132404,0.274953,0.000122,0.075102,0.985215,0
0.13705,0.275895,0.0,0.084201,0.990526,0
0.146341,0.276836,0.000366,0.091397,0.993397,0
0.139373,0.275895,0.0,0.083126,0.953851,0
0.138211,0.275895,0.000122,0.08012,0.974664,0
0.13705,0.274953,0.000122,0.076234,0.956291,0
0.13705,0.274953,0.000122,0.039482,0.930166,0
0.141696,0.274011,0.0,0.086362,0.965262,0
0.140534,0.272128,0.000122,0.076818,0.937917,0
0.146341,0.274011,0.000733,0.083224,0.953348,0
0.155633,0.274011,0.000489,0.077646,0.928802,0
0.159117,0.27307,0.0,0.083977,0.92708,0
0.168409,0.27307,0.0,0.084702,0.916457,0
0.174216,0.274011,0.000122,0.080732,0.930955,0
0.167247,0.274953,0.0,0.086058,0.930812,0
0.167247,0.274953,0.000244,0.078866,0.924568,0
0.164925,0.275895,0.0,0.076491,0.918467,0
0.171893,0.275895,0.00309,0.06187,0.902175,0
0.168409,0.276836,0.000244,0.090317,0.916744,0
0.166086,0.277778,0.000122,0.081003,0.880069,0
0.160279,0.275895,0.000244,0.074934,0.907558,0
0.164925,0.274953,0.0,0.079474,0.893562,0
0.16957,0.274011,0.000122,0.089373,0.870954,0
0.164925,0.274953,0.000122,0.091898,0.895069,0
0.162602,0.275895,0.0,0.073746,0.887749,0
0.16144,0.275895,0.000122,0.071254,0.883586,0
0.159117,0.274011,0.000122,0.073508,0.870954,0
0.16144,0.274953,0.000244,0.091692,0.88172,0
0.170732,0.274953,0.0,0.076239,0.865356,0
0.18583,0.275895,0.0,0.080456,0.844757,0
0.193961,0.275895,0.000489,0.075785,0.870954,0
0.189315,0.275895,0.000122,0.076762,0.859973,0
0.186992,0.275895,0.000366,0.082542,0.851288,0
0.188153,0.275895,0.000366,0.078324,0.832556,0
0.182346,0.274953,0.000244,0.078511,0.843609,0
0.175377,0.274011,0.000244,0.077534,0.834063,0
0.180023,0.27307,0.000244,0.079212,0.999928,0
0.175377,0.274011,0.000366,0.057765,0.999928,0
0.176539,0.274011,0.000122,0.086535,0.999928,0
0.175377,0.274953,0.0,0.077567,0.999928,0
0.186992,0.275895,0.0,0.069973,0.999928,0
0.186992,0.275895,0.000122,0.077637,0.999928,0
0.181185,0.274953,0.000122,0.085095,0.999928,0
0.178862,0.274011,0.0,0.075762,0.999928,0
0.180023,0.272128,0.000122,0.075972,0.999928,0
0.180023,0.27307,0.000244,0.072166,0.999928,0
0.182346,0.27307,0.000366,0.070871,0.999928,0
0.182346,0.274953,0.000244,0.057073,0.999928,0
0.190476,0.276836,0.000244,0.086058,0.999928,0
0.18583,0.276836,0.0,0.077824,0.999928,0
0.181185,0.275895,0.0,0.071469,0.999928,0
0.1777,0.276836,0.000122,0.074125,0.999928,0
0.176539,0.283427,0.000122,0.079937,0.999928,0
